time,out[3],out[2],out[1],out[0]
5,0,0,0,1
15,0,0,0,1
25,0,0,0,1
35,0,0,0,1
45,0,0,0,1
55,0,0,0,1
65,0,0,0,1
75,0,0,0,1
85,0,0,0,1
95,0,0,0,1
105,0,0,1,0
115,0,0,1,0
125,0,0,1,0
135,0,0,1,0
145,0,0,1,0
155,0,0,1,0
165,0,0,1,0
175,0,0,1,0
185,0,0,1,0
195,0,0,1,0
205,0,0,1,0
215,0,0,1,0
225,0,0,1,0
235,0,0,1,0
245,0,0,1,0
255,0,0,1,0
265,0,0,1,0
275,0,0,1,0
285,0,0,1,0
295,0,0,1,0
305,0,0,1,0
315,0,0,1,0
325,0,0,1,0
335,0,0,1,0
345,0,0,1,0
355,0,0,1,0
365,0,0,1,0
375,0,0,1,0
385,0,0,1,0
395,0,0,1,0
405,1,0,0,0
415,1,0,0,0
425,1,0,0,0
435,1,0,0,0
445,1,0,0,0
455,1,0,0,0
465,1,0,0,0
475,1,0,0,0
485,1,0,0,0
495,1,0,0,0
505,0,1,0,0
515,0,1,0,0
525,0,1,0,0
535,0,1,0,0
545,0,1,0,0
555,0,1,0,0
565,0,1,0,0
575,0,1,0,0
585,0,1,0,0
595,0,1,0,0
605,0,1,0,0
615,0,1,0,0
625,0,1,0,0
635,0,1,0,0
645,0,1,0,0
655,0,1,0,0
665,0,1,0,0
675,0,1,0,0
685,0,1,0,0
695,0,1,0,0
705,0,1,0,0
715,0,1,0,0
725,0,1,0,0
735,0,1,0,0
745,0,1,0,0
755,0,1,0,0
765,0,1,0,0
775,0,1,0,0
785,0,1,0,0
795,0,1,0,0
805,0,1,0,0
815,0,1,0,0
825,0,1,0,0
835,0,1,0,0
845,0,1,0,0
855,0,1,0,0
865,0,1,0,0
875,0,1,0,0
885,0,1,0,0
895,0,1,0,0
905,0,1,0,0
915,0,1,0,0
925,0,1,0,0
935,0,1,0,0
945,0,1,0,0
955,0,1,0,0
965,0,1,0,0
975,0,1,0,0
985,0,1,0,0
995,0,1,0,0
1005,0,1,0,0
1015,0,1,0,0
1025,0,1,0,0
1035,0,1,0,0
1045,0,1,0,0
1055,0,1,0,0
1065,0,1,0,0
1075,0,1,0,0
1085,0,1,0,0
1095,0,1,0,0
1105,0,1,0,0
1115,0,1,0,0
1125,0,1,0,0
1135,0,1,0,0
1145,0,1,0,0
1155,0,1,0,0
1165,0,1,0,0
1175,0,1,0,0
1185,0,1,0,0
1195,0,1,0,0
1205,0,1,0,0
1215,0,1,0,0
1225,0,1,0,0
1235,0,1,0,0
1245,0,1,0,0
1255,0,1,0,0
1265,0,1,0,0
1275,0,1,0,0
1285,0,1,0,0
1295,0,1,0,0
1305,0,1,0,0
1315,0,1,0,0
1325,0,1,0,0
1335,0,1,0,0
1345,0,1,0,0
1355,0,1,0,0
1365,0,1,0,0
1375,0,1,0,0
1385,0,1,0,0
1395,0,1,0,0
1405,0,1,0,0
1415,0,1,0,0
1425,0,1,0,0
1435,0,1,0,0
1445,0,1,0,0
1455,0,1,0,0
1465,0,1,0,0
1475,0,1,0,0
1485,0,1,0,0
1495,0,1,0,0
