time,Y7,Y6,Y5,Y4,Y3,Y2,Y1,Y0
1,0,1,1,1,1,1,1,1
3,0,1,1,1,1,1,1,1
5,0,1,1,1,1,1,1,1
7,0,1,1,1,1,1,1,1
9,0,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,0
13,1,1,1,1,1,1,1,0
15,1,1,1,1,1,1,1,0
17,1,1,1,1,1,1,1,0
19,1,1,1,1,1,1,1,0
21,0,1,1,1,1,1,1,1
23,0,1,1,1,1,1,1,1
25,0,1,1,1,1,1,1,1
27,0,1,1,1,1,1,1,1
29,0,1,1,1,1,1,1,1
31,1,1,1,0,1,1,1,1
33,1,1,1,0,1,1,1,1
35,1,1,1,0,1,1,1,1
37,1,1,1,0,1,1,1,1
39,1,1,1,0,1,1,1,1
41,1,0,1,1,1,1,1,1
43,1,0,1,1,1,1,1,1
45,0,1,1,1,1,1,1,1
47,0,1,1,1,1,1,1,1
49,0,1,1,1,1,1,1,1
51,0,1,1,1,1,1,1,1
53,0,1,1,1,1,1,1,1
