time,op[7],op[6],op[5],op[4],op[3],op[2],op[1],op[0]
10,x,x,x,x,x,x,x,x
30,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,1
190,1,1,1,1,1,1,1,1
210,1,1,1,1,1,1,1,1
230,1,1,1,1,1,1,1,1
250,1,1,1,1,1,1,1,1
270,1,1,1,1,1,1,1,1
290,1,1,1,1,1,1,1,1
310,1,1,1,1,1,1,1,1
330,1,1,1,1,1,1,1,1
350,1,1,1,1,1,1,1,1
370,1,1,1,1,1,1,1,1
390,1,1,1,1,1,1,1,1
410,1,1,1,1,1,1,1,1
430,1,1,1,1,1,1,1,1
450,1,1,1,1,1,1,1,1
470,1,1,1,1,1,1,1,1
490,1,1,1,1,1,1,1,1
510,1,1,1,1,1,1,1,1
530,1,1,1,1,1,1,1,1
